record_id,participant_id,program_code,main_group,order_variant,age_group,design_education,digital_use,crowd_discomfort,study_duration_min,sensitivity_focus_or_reload_flag,final_usefulness,final_ease,final_representational_value,final_future_preference,trial_order,landmark_id,task_type,initial_density,first_user_selected_density,committed_density,density_sequence,switch_count,unique_levels_viewed,all_density_levels_clicked,selection_time_s,localization_time_s,time_empty_s,time_low_s,time_moderate_s,time_high_s,accuracy,aoi_distance,click_x,click_y,familiarity_visited,familiarity_visual,familiarity_spatial,rating_answer_confidence,rating_comparison_benefit,rating_control_usefulness,rating_ideal_density,rating_aesthetic_appeal,rating_expected_comfort,rating_self_location_imagery,rating_informational_adequacy,rating_representational_realism,review_selection_time_3iqr,review_localization_time_3iqr
P009_T4,P009,C4,C,4,18-34,no,2,4,11.8,False,2,3,2,2,4,duomo,feature,low,empty,empty,low>empty>moderate>high>low>empty>moderate>high>empty,8,4,1,20.257,1.8,6.03,4.957,2.94,6.33,1.0,0.02,0.501,0.74,yes,3,3,7.0,1.0,1,,,,,,,False,False
P010_T1,P010,A1,A,1,18-34,no,2,4,10.1,False,4,4,3,4,1,notre_dame,feature,moderate,empty,low,moderate>empty>low>moderate>high>low,5,4,1,14.765,1.156,0.576,2.077,8.697,3.416,1.0,0.093,0.54,0.436,no,1,1,7.0,4.0,3,,,,,,,False,False
P010_T2,P010,A1,A,1,18-34,no,2,4,10.1,False,4,4,3,4,2,duomo,visit,high,empty,low,high>empty>low>moderate>high>moderate>low,6,4,1,7.851,,0.559,2.231,1.315,3.746,,,,,no,1,1,,,4,low,4.0,3.0,4.0,3.0,4.0,False,False
P010_T3,P010,A1,A,1,18-34,no,2,4,10.1,False,4,4,3,4,3,colosseum,feature,low,empty,low,low>empty>low>moderate>high>low,5,4,1,13.988,1.516,0.496,11.728,0.588,1.176,0.0,0.203,0.549,0.269,no,1,1,1.0,2.0,1,,,,,,,False,False
P010_T4,P010,A1,A,1,18-34,no,2,4,10.1,False,4,4,3,4,4,cologne,visit,empty,low,low,empty>low>moderate>high>empty>low,5,4,1,7.77,,4.322,1.864,0.449,1.136,,,,,no,1,1,,,4,low,7.0,5.0,4.0,3.0,4.0,False,False
P011_T1,P011,A3,A,3,18-34,yes,2,5,8.6,False,6,6,5,5,1,colosseum,feature,high,low,moderate,high>low>moderate,2,3,0,12.564,16.787,0.0,1.178,4.025,7.351,1.0,0.069,0.463,0.526,no,1,1,4.0,5.0,1,,,,,,,False,False
P011_T2,P011,A3,A,3,18-34,yes,2,5,8.6,False,6,6,5,5,2,cologne,visit,moderate,high,high,moderate>high>low>high,3,3,0,19.848,,0.0,3.51,6.573,9.764,,,,,no,1,1,,,4,low,6.0,6.0,5.0,4.0,5.0,False,False
P011_T3,P011,A3,A,3,18-34,yes,2,5,8.6,False,6,6,5,5,3,notre_dame,feature,low,low,low,low>moderate>low>moderate>low,4,2,0,17.55,7.143,0.0,12.474,5.076,0.0,1.0,0.101,0.54,0.444,no,1,1,6.0,5.0,5,,,,,,,False,False
P011_T4,P011,A3,A,3,18-34,yes,2,5,8.6,False,6,6,5,5,4,duomo,visit,empty,high,moderate,empty>high>low>moderate,3,4,0,11.2,,6.688,0.965,2.197,1.351,,,,,no,1,1,,,4,moderate,5.0,5.0,4.0,3.0,4.0,False,False
P012_T1,P012,D2,D,2,18-34,yes,1,6,7.2,False,6,6,6,7,1,colosseum,feature,moderate,low,empty,moderate>low>empty>moderate>high>low>empty>low>moderate>empty,9,4,1,40.808,7.216,10.545,2.271,16.32,11.672,1.0,0.07,0.466,0.529,yes,7,6,6.0,7.0,4,,,,,,,False,False
P012_T2,P012,D2,D,2,18-34,yes,1,6,7.2,False,6,6,6,7,2,duomo,visit,high,empty,high,high>empty>low>moderate>high,4,4,1,10.288,,0.464,2.336,0.632,6.856,,,,,no,6,4,,,5,low,4.0,1.0,5.0,2.0,2.0,False,False
P012_T3,P012,D2,D,2,18-34,yes,1,6,7.2,False,6,6,6,7,3,cologne,feature,low,moderate,empty,low>moderate>high>empty,3,4,0,9.608,3.416,3.432,5.216,0.496,0.464,1.0,0.099,0.461,0.649,no,6,3,6.0,6.0,6,,,,,,,False,False
P012_T4,P012,D2,D,2,18-34,yes,1,6,7.2,False,6,6,6,7,4,notre_dame,visit,empty,low,high,empty>low>moderate>high,3,4,0,13.92,,2.824,4.184,0.656,6.256,,,,,no,6,4,,,6,low,3.0,1.0,5.0,5.0,6.0,False,False
P013_T1,P013,C3,C,3,35-64,no,1,3,5.5,True,5,4,5,5,1,duomo,feature,empty,low,moderate,empty>low>moderate>high>moderate>low>moderate>low>moderate>low>moderate>low>moderate,12,4,0,13.905,4.14,3.045,3.637,5.917,1.305,1.0,0.041,0.502,0.761,no,1,1,5.0,2.0,5,,,,,,,False,False
P013_T2,P013,C3,C,3,35-64,no,1,3,5.5,True,5,4,5,5,2,cologne,visit,moderate,empty,moderate,moderate>empty>low>moderate>high>moderate>high>moderate,7,4,1,9.727,,1.23,1.485,5.571,1.441,,,,,no,1,1,,,4,low,2.0,4.0,6.0,5.0,5.0,False,False
P013_T3,P013,C3,C,3,35-64,no,1,3,5.5,True,5,4,5,5,3,notre_dame,feature,low,empty,empty,low>empty>low>moderate>high>low>empty,6,4,1,5.355,4.695,1.304,2.842,0.638,0.57,0.0,0.139,0.534,0.486,no,1,1,7.0,4.0,2,,,,,,,False,False
